Item,Value,comment1,GPIO_pin
PIN_PWM_CFG_PWM1_4,2048,PWM1_4  (C_GPIO[5]),C_GPIO5[]
PIN_PWM_CFG_PWM1_5,4096,PWM1_5  (L_GPIO[1]),L_GPIO1[]
PIN_PWM_CFG_PWM2_1,65536,PWM2_1  (P_GPIO[2]),P_GPIO2[]
PIN_PWM_CFG_PWM2_2,131072,PWM2_2  (C_GPIO[16]),C_GPIO16[]
PIN_PWM_CFG_PWM2_3,262144,PWM2_3  (S_GPIO[3]),S_GPIO3[]
PIN_PWM_CFG_PWM2_4,524288,PWM2_4  (C_GPIO[6]),C_GPIO6[]
PIN_PWM_CFG_PWM2_5,1048576,PWM2_5  (L_GPIO[2]),L_GPIO2[]
PIN_PWM_CFG_PWM3_1,16777216,PWM3_1  (P_GPIO[3]),P_GPIO3[]
PIN_PWM_CFG_PWM3_2,33554432,PWM3_2  (C_GPIO[17]),C_GPIO17[]
PIN_PWM_CFG_PWM3_3,67108864,PWM3_3  (S_GPIO[4]),S_GPIO4[]
PIN_PWM_CFG_PWM3_4,134217728,PWM3_4  (C_GPIO[7]),C_GPIO7[]
PIN_PWM_CFG_PWM3_5,268435456,PWM3_5  (L_GPIO[3]),L_GPIO3[]
,,,
PIN_PWMII_CFG_NONE,0,,
PIN_PWMII_CFG_PWM4_1,1,PWM4_1  (P_GPIO[4]),P_GPIO4[]
PIN_PWMII_CFG_PWM4_2,2,PWM4_2  (C_GPIO[12]),C_GPIO12[]
PIN_PWMII_CFG_PWM4_3,4,PWM4_3  (S_GPIO[5]),S_GPIO5[]
PIN_PWMII_CFG_PWM4_4,8,PWM4_4  (D_GPIO[3]),D_GPIO3[]
PIN_PWMII_CFG_PWM4_5,16,PWM4_5  (L_GPIO[4]),L_GPIO4[]
PIN_PWMII_CFG_PWM5_1,256,PWM5_1  (P_GPIO[5]),P_GPIO5[]
PIN_PWMII_CFG_PWM5_2,512,PWM5_2  (C_GPIO[13]),C_GPIO13[]
PIN_PWMII_CFG_PWM5_3,1024,PWM5_3  (S_GPIO[6]),S_GPIO6[]
PIN_PWMII_CFG_PWM5_4,2048,PWM5_4  (D_GPIO[4]),D_GPIO4[]
PIN_PWMII_CFG_PWM5_5,4096,PWM5_5  (L_GPIO[5]),L_GPIO5[]
PIN_PWMII_CFG_PWM6_1,65536,PWM6_1  (P_GPIO[6]),P_GPIO6[]
PIN_PWMII_CFG_PWM6_2,131072,PWM6_2  (C_GPIO[18]),C_GPIO18[]
PIN_PWMII_CFG_PWM6_3,262144,PWM6_3  (S_GPIO[7]),S_GPIO7[]
PIN_PWMII_CFG_PWM6_4,524288,PWM6_4  (D_GPIO[5]),D_GPIO5[]
PIN_PWMII_CFG_PWM6_5,1048576,PWM6_5  (L_GPIO[6]),L_GPIO6[]
