Item,Value,comment1,GPIO_pin
PIN_MISC_CFG_SP2_CLK_3,1024,SP2_CLK_1 (D_GPIO[4]),D_GPIO4[]
PIN_MISC_CFG_ADC,1048576,ADC (A_GPIO[0..2]),A_GPIO0[]|A_GPIO1[]|A_GPIO2[]
PIN_MISC_CFG_MIPI_SEL_DSI,16777216,,
PIN_MISC_CFG_MIPI_SEL_CSI_TX,33554432,,
PIN_MISC_CFG_CPU_ICE,268435456,"CPU_ICE	(D_GPIO[2..6])",D_GPIO2[]|D_GPIO3[]|D_GPIO4[]|D_GPIO5[]|D_GPIO6[]
,,,
PINMUX_DISPMUX_SEL_NONE,0,,
PINMUX_DISPMUX_SEL_MASK,268435456,,
,,,
PINMUX_LCD_SEL_GPIO,0,GPIO,
PINMUX_LCD_SEL_CCIR656,1,CCIR-656 8 bits. (L_GPIO[8]) CCIR_DATA_WIDTH 8bit (L_GPIO[0..7]),L_GPIO8[]|L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]
PINMUX_LCD_SEL_CCIR656_16BITS,2,CCIR-656 16 bits. (L_GPIO[8]) CCIR_DATA_WIDTH 16bit (L_GPIO[0..7]/L_GPIO[12..19]),L_GPIO8[]|L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO12[]|L_GPIO13[]|L_GPIO14[]|L_GPIO15[]|L_GPIO16[]|L_GPIO17[]|L_GPIO18[]|L_GPIO19[]
PINMUX_LCD_SEL_CCIR601,3,CCIR-601 8 bits. (L_GPIO[8..10]) CCIR_DATA_WIDTH 8bit (L_GPIO[0..7]) CCIR_FIELD CCIR_DATA_WIDTH = 0(L_GPIO[14]) / CCIR_DATA_WIDTH = 1 (L_GPIO[20]),L_GPIO8[]|L_GPIO9[]|L_GPIO10[]|L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO14[]|L_GPIO20[]
PINMUX_LCD_SEL_CCIR601_16BITS,4,CCIR-601 16 bits.(L_GPIO[8..10]) CCIR_DATA_WIDTH 16bit (L_GPIO[0..7]/L_GPIO[12..19]) CCIR_FIELD CCIR_DATA_WIDTH = 0(L_GPIO[14]) / CCIR_DATA_WIDTH = 1 (L_GPIO[20]),L_GPIO8[]|L_GPIO9[]|L_GPIO10[]|L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO12[]|L_GPIO13[]|L_GPIO14[]|L_GPIO15[]|L_GPIO16[]|L_GPIO17[]|L_GPIO18[]|L_GPIO19[]|L_GPIO14[]|L_GPIO20[]
PINMUX_LCD_SEL_SERIAL_RGB_6BITS,5,Serial RGB 6 bits. (L_GPIO[2..10]),L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO8[]|L_GPIO9[]|L_GPIO10[]
PINMUX_LCD_SEL_SERIAL_RGB_8BITS,6,Serial RGB 8 bits. (L_GPIO[0..10]),L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO8[]|L_GPIO9[]|L_GPIO10[]
PINMUX_LCD_SEL_SERIAL_YCbCr_8BITS,7,Serial YCbCr 8 bits. (L_GPIO[0..10]),L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO8[]|L_GPIO9[]|L_GPIO10[]
PINMUX_LCD_SEL_PARALLE_RGB565,8,Parallel RGB565. (L_GPIO[0..10]/L_GPIO[12..19]),L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO8[]|L_GPIO9[]|L_GPIO10[]|L_GPIO12[]|L_GPIO13[]|L_GPIO14[]|L_GPIO15[]|L_GPIO16[]|L_GPIO17[]|L_GPIO18[]|L_GPIO19[]
PINMUX_LCD_SEL_PARALLE_RGB666,9,Parallel RGB666. (L_GPIO[0..10]/L_GPIO[12..21]),L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO8[]|L_GPIO9[]|L_GPIO10[]|L_GPIO12[]|L_GPIO13[]|L_GPIO14[]|L_GPIO15[]|L_GPIO16[]|L_GPIO17[]|L_GPIO18[]|L_GPIO19[]|L_GPIO20[]|L_GPIO21[]
PINMUX_LCD_SEL_PARALLE_RGB888,10,Parallel RGB888. (L_GPIO[0..10]/L_GPIO[12..21]/P_GPIO[13..16]/D_GPIO[0..1]),L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO8[]|L_GPIO9[]|L_GPIO10[]|L_GPIO12[]|L_GPIO13[]|L_GPIO14[]|L_GPIO15[]|L_GPIO16[]|L_GPIO17[]|L_GPIO18[]|L_GPIO19[]|L_GPIO20[]|L_GPIO21[]|P_GPIO13[]|P_GPIO14[]|P_GPIO15[]|P_GPIO16[]|D_GPIO0[]|D_GPIO1[]
PINMUX_LCD_SEL_RGB_16BITS,11,RGB 16 bits. (L_GPIO[0..10]/L_GPIO[12..19]),L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO8[]|L_GPIO9[]|L_GPIO10[]|L_GPIO12[]|L_GPIO13[]|L_GPIO14[]|L_GPIO15[]|L_GPIO16[]|L_GPIO17[]|L_GPIO18[]|L_GPIO19[]
PINMUX_LCD_SEL_MIPI,12,MIPI DSI (L_GPIO[22]),L_GPIO22[]
PINMUX_LCD_SEL_PARALLE_MI_8BITS,13,Parallel MI 8 bits. (L_GPIO[0..7]),L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]
PINMUX_LCD_SEL_PARALLE_MI_9BITS,14,Parallel MI 9 bits. (L_GPIO[0..7]/L_GPIO[12]),L_GPIO12[]|L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]
PINMUX_LCD_SEL_PARALLE_MI_16BITS,15,Parallel MI 16 bits. (L_GPIO[0..7]/L_GPIO[12..19]),L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO12[]|L_GPIO13[]|L_GPIO14[]|L_GPIO15[]|L_GPIO16[]|L_GPIO17[]|L_GPIO18[]|L_GPIO19[]
PINMUX_LCD_SEL_PARALLE_MI_18BITS,16,Parallel MI 18 bits. (L_GPIO[0..7]/L_GPIO[12..21]),L_GPIO0[]|L_GPIO1[]|L_GPIO2[]|L_GPIO3[]|L_GPIO4[]|L_GPIO5[]|L_GPIO6[]|L_GPIO7[]|L_GPIO12[]|L_GPIO13[]|L_GPIO14[]|L_GPIO15[]|L_GPIO16[]|L_GPIO17[]|L_GPIO18[]|L_GPIO19[]|L_GPIO20[]|L_GPIO21[]
PINMUX_LCD_SEL_SERIAL_MI_SDIO,17,Serial MI SDIO bi-direction.,
PINMUX_LCD_SEL_SERIAL_MI_SDI_SDO,18,Serial MI SDI/SDO seperate.,
PINMUX_LCD_SEL_TE_ENABLE,8388608,,
PINMUX_LCD_SEL_DE_ENABLE,16777216,,
PINMUX_LCD_SEL_HVLD_VVLD,33554432,,
PINMUX_LCD_SEL_FIELD,67108864,,
PINMUX_LCD_SEL_NO_HVSYNC,134217728,,
PINMUX_LCD_SEL_FEATURE_MSK,528482304,,
