CGPIO,pin,DRIVINGSINK,PULLDOWN,DIRECTION,OUTPUT
,CGPIO0,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO1,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO2,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO3,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO4,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO5,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO6,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO7,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO8,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,CGPIO9,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO10,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO11,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO12,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,CGPIO13,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO14,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO15,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO16,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO17,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO18,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,CGPIO19,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO20,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO21,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO22,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,CGPIO23,PAD_DRIVINGSINK_LEVEL_4,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,,,,,
,,,,,
,,,,,
,,,,,
HSIGPIO,pin,DRIVINGSINK,PULLDOWN,DIRECTION,OUTPUT
,HSIGPIO0,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,HSIGPIO1,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,HSIGPIO2,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,HSIGPIO3,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,HSIGPIO4,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,HSIGPIO5,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,HSIGPIO6,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,HSIGPIO7,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
