Item,Value,comment1,GPIO_pin
PAD_PIN_LGPIO21,12A,L_GPIO_21,
PAD_PIN_LGPIO22,12C,L_GPIO_22,
PAD_PIN_LGPIO23,12E,L_GPIO_23,
PAD_PIN_LGPIO24,130,L_GPIO_24,
PAD_PIN_SGPIO0,180,S_GPIO_0,
PAD_PIN_SGPIO1,182,S_GPIO_1,
PAD_PIN_SGPIO2,184,S_GPIO_2,
PAD_PIN_SGPIO3,186,S_GPIO_3,
PAD_PIN_SGPIO4,188,S_GPIO_4,
PAD_PIN_SGPIO5,18A,S_GPIO_5,
PAD_PIN_SGPIO6,18C,S_GPIO_6,
PAD_PIN_SGPIO7,18E,S_GPIO_7,
PAD_PIN_SGPIO8,190,S_GPIO_8,
PAD_PIN_SGPIO9,192,S_GPIO_9,
PAD_PIN_SGPIO10,194,S_GPIO_10,
PAD_PIN_SGPIO11,196,S_GPIO_11,
PAD_PIN_SGPIO12,198,S_GPIO_12,
PAD_PIN_SGPIO13,19A,S_GPIO_13,
PAD_PIN_SGPIO14,19C,S_GPIO_14,
PAD_PIN_SGPIO15,19E,S_GPIO_15,
PAD_PIN_HSIGPIO0,200,HSI_GPIO_0,
PAD_PIN_HSIGPIO1,202,HSI_GPIO_1,
PAD_PIN_HSIGPIO2,204,HSI_GPIO_2,
PAD_PIN_HSIGPIO3,206,HSI_GPIO_3,
PAD_PIN_HSIGPIO4,208,HSI_GPIO_4,
PAD_PIN_HSIGPIO5,20A,HSI_GPIO_5,
PAD_PIN_HSIGPIO6,20C,HSI_GPIO_6,
PAD_PIN_HSIGPIO7,20E,HSI_GPIO_7,
PAD_PIN_HSIGPIO8,210,HSI_GPIO_8,
PAD_PIN_HSIGPIO9,212,HSI_GPIO_9,
PAD_PIN_HSIGPIO10,214,HSI_GPIO_10,
PAD_PIN_HSIGPIO11,216,HSI_GPIO_11,
PAD_PIN_HSIGPIO12,218,HSI_GPIO_12,
PAD_PIN_HSIGPIO13,21A,HSI_GPIO_13,
PAD_PIN_HSIGPIO14,21C,HSI_GPIO_14,
PAD_PIN_HSIGPIO15,21E,HSI_GPIO_15,
PAD_PIN_HSIGPIO16,220,HSI_GPIO_16,
PAD_PIN_HSIGPIO17,222,HSI_GPIO_17,
PAD_PIN_HSIGPIO18,224,HSI_GPIO_18,
PAD_PIN_HSIGPIO19,226,HSI_GPIO_19,
PAD_PIN_HSIGPIO20,228,HSI_GPIO_20,
PAD_PIN_HSIGPIO21,22A,HSI_GPIO_21,
PAD_PIN_HSIGPIO22,22C,HSI_GPIO_22,
PAD_PIN_HSIGPIO23,22E,HSI_GPIO_23,
PAD_PIN_AGPIO0,280,A_GPIO_0,
PAD_PIN_AGPIO1,282,A_GPIO_1,
PAD_PIN_AGPIO2,284,A_GPIO_2,
PAD_PIN_MAX,,,
PAD_DS_CGPIO0,800,C_GPIO_0,
PAD_DS_CGPIO1,804,C_GPIO_1,
PAD_DS_CGPIO2,808,C_GPIO_2,
PAD_DS_CGPIO3,80c,C_GPIO_3,
PAD_DS_CGPIO4,810,C_GPIO_4,
PAD_DS_CGPIO5,814,C_GPIO_5,
PAD_DS_CGPIO6,818,C_GPIO_6,
PAD_DS_CGPIO7,81C,C_GPIO_7,
PAD_DS_CGPIO8,820,C_GPIO_8,
PAD_DS_CGPIO9,824,C_GPIO_9,
PAD_DS_CGPIO10,828,C_GPIO_10,
PAD_DS_CGPIO11,82C,C_GPIO_11,
PAD_DS_CGPIO12,830,C_GPIO_12,
PAD_DS_CGPIO13,834,C_GPIO_13,
PAD_DS_CGPIO14,838,C_GPIO_14,
PAD_DS_CGPIO15,83C,C_GPIO_15,
PAD_DS_CGPIO16,840,C_GPIO_16,
PAD_DS_CGPIO17,844,C_GPIO_17,
PAD_DS_CGPIO18,848,C_GPIO_18,
PAD_DS_CGPIO19,84C,C_GPIO_19,
PAD_DS_CGPIO20,850,C_GPIO_20,
PAD_DS_CGPIO21,854,C_GPIO_21,
PAD_DS_CGPIO22,858,C_GPIO_22,
PAD_DS_CGPIO23,85C,C_GPIO_23,
PAD_DS_PGPIO0,880,P_GPIO_0,
PAD_DS_PGPIO1,884,P_GPIO_1,
PAD_DS_PGPIO2,888,P_GPIO_2,
PAD_DS_PGPIO3,88C,P_GPIO_3,
PAD_DS_PGPIO4,890,P_GPIO_4,
PAD_DS_PGPIO5,894,P_GPIO_5,
PAD_DS_PGPIO6,898,P_GPIO_6,
PAD_DS_PGPIO7,89C,P_GPIO_7,
PAD_DS_PGPIO8,8A0,P_GPIO_8,
PAD_DS_PGPIO9,8A4,P_GPIO_9,
PAD_DS_PGPIO10,8A8,P_GPIO_10,
PAD_DS_PGPIO11,8AC,P_GPIO_11,
PAD_DS_PGPIO12,8B0,P_GPIO_12,
PAD_DS_PGPIO13,8B4,P_GPIO_13,
PAD_DS_PGPIO14,8B8,P_GPIO_14,
PAD_DS_PGPIO15,8BC,P_GPIO_15,
PAD_DS_PGPIO16,8C0,P_GPIO_16,
PAD_DS_PGPIO17,8C4,P_GPIO_17,
PAD_DS_PGPIO18,8C8,P_GPIO_18,
PAD_DS_PGPIO19,8CC,P_GPIO_19,
PAD_DS_PGPIO20,8D0,P_GPIO_20,
PAD_DS_PGPIO21,8D4,P_GPIO_21,
PAD_DS_PGPIO22,8D8,P_GPIO_22,
PAD_DS_PGPIO23,8DC,P_GPIO_23,
PAD_DS_PGPIO24,8E0,P_GPIO_24,
PAD_DS_PGPIO25,8E4,P_GPIO_25,
PAD_DS_DGPIO0,980,D_GPIO_0,
PAD_DS_DGPIO1,984,D_GPIO_1,
PAD_DS_DGPIO2,988,D_GPIO_2,
PAD_DS_DGPIO3,98C,D_GPIO_3,
PAD_DS_DGPIO4,990,D_GPIO_4,
PAD_DS_DGPIO5,994,D_GPIO_5,
PAD_DS_DGPIO6,998,D_GPIO_6,
PAD_DS_DGPIO7,99C,D_GPIO_7,
PAD_DS_DGPIO8,9A0,D_GPIO_8,
PAD_DS_DGPIO9,9A4,D_GPIO_9,
PAD_DS_DGPIO10,9A8,D_GPIO_10,
PAD_DS_DGPIO11,9AC,D_GPIO_11,
PAD_DS_DGPIO12,9B0,D_GPIO_12,
PAD_DS_DGPIO13,9B4,D_GPIO_13,
PAD_DS_DGPIO14,9B8,D_GPIO_14,
PAD_DS_LGPIO0,A00,L_GPIO_0,
PAD_DS_LGPIO1,A04,L_GPIO_1,
PAD_DS_LGPIO2,A08,L_GPIO_2,
PAD_DS_LGPIO3,A0C,L_GPIO_3,
PAD_DS_LGPIO4,A10,L_GPIO_4,
PAD_DS_LGPIO5,A14,L_GPIO_5,
PAD_DS_LGPIO6,A18,L_GPIO_6,
PAD_DS_LGPIO7,A1C,L_GPIO_7,
PAD_DS_LGPIO8,A20,L_GPIO_8,
PAD_DS_LGPIO9,A24,L_GPIO_9,
PAD_DS_LGPIO10,A28,L_GPIO_10,
PAD_DS_LGPIO11,A2C,L_GPIO_11,
PAD_DS_LGPIO12,A30,L_GPIO_12,
PAD_DS_LGPIO13,A34,L_GPIO_13,
PAD_DS_LGPIO14,A38,L_GPIO_14,
PAD_DS_LGPIO15,A3C,L_GPIO_15,
